userId,startTime,endTime
2015011203,2015/10/19 06:02,2015/10/19 23:04
2015011214,2015/10/20 19:15,2015/10/20 23:23
2015011105,2015/10/21 06:02,2015/10/21 23:04
2015011209,2015/10/22 09:20,2015/10/22 23:04
2015011216,2015/10/23 06:01,2015/10/23 23:04
2015011230,2015/10/24 23:54,2015/10/25 00:03
2015011220,2015/10/25 23:04,2015/10/26 00:49
2015011217,2015/10/26 23:05,2015/10/27 04:23
2015011209,2015/10/27 05:55,2015/10/27 05:55
2015011229,2015/10/21 23:05,2015/10/22 00:59
2015011209,2015/10/28 05:36,2015/10/28 05:40
2015011111,2015/10/29 06:01,2015/10/30 03:01
2015011126,2015/10/30 06:01,2015/10/30 23:04
2015011206,2015/10/01 06:01,2015/10/01 23:04
2015011214,2015/10/02 05:30,2015/10/11 00:58
2015011122,2015/10/03 10:22,2015/10/05 00:07
2015011114,2015/10/21 06:01,2015/10/21 23:04
2015011120,2015/10/21 15:11,2015/10/21 23:04
2015011105,2015/10/04 10:04,2015/10/04 19:02
2015011211,2015/10/21 15:19,2015/10/21 23:04
2015011208,2015/10/21 23:14,2015/10/22 00:21
2015011301,2015/10/05 17:44,2015/10/05 23:04
2015011219,2015/10/21 06:01,2015/10/21 23:04
2015011202,2015/10/06 23:41,2015/10/07 00:24
2015011213,2015/10/07 18:09,2015/10/07 22:53
2015011209,2015/10/08 22:54,2015/10/09 00:40
2015011124,2015/10/09 06:01,2015/10/09 23:04
2015011117,2015/10/10 23:04,2015/10/10 23:16
2015011113,2015/10/11 19:38,2015/10/11 23:02
2015011105,2015/10/12 08:50,2015/10/12 23:19
2015011207,2015/10/13 02:46,2015/10/13 04:02
2015011114,2015/10/14 23:56,2015/10/15 00:09
2015011227,2015/10/15 23:07,2015/10/16 01:54
2015011102,2015/10/21 23:08,2015/10/22 01:02
2015011104,2015/10/21 11:13,2015/10/21 19:54
2015011203,2015/10/16 23:04,2015/10/17 01:02
2015011129,2015/10/17 23:16,2015/10/17 23:21
2015011112,2015/10/22 00:56,2015/10/22 01:36
2015011230,2015/10/18 00:38,2015/10/18 01:25
2015011113,2015/10/19 06:01,2015/10/19 23:04
2015011103,2015/10/21 06:01,2015/10/21 23:04
2015011115,2015/10/20 06:01,2015/10/20 23:04
2015011103,2015/10/21 23:11,2015/10/21 23:27
2015011105,2015/10/22 21:30,2015/10/22 23:04
2015011127,2015/10/21 22:37,2015/10/21 22:38
2015011122,2015/10/23 23:04,2015/10/24 05:56
2015011226,2015/10/24 22:21,2015/10/24 23:04
2015011203,2015/10/25 06:02,2015/10/25 23:04
2015011212,2015/10/21 23:06,2015/10/21 23:46
2015011212,2015/10/26 23:05,2015/10/26 23:10
2015011222,2015/10/27 21:55,2015/10/27 23:04
2015011217,2015/10/28 06:01,2015/10/28 23:04
2015011104,2015/10/29 07:57,2015/10/29 09:01
2015011211,2015/10/30 09:14,2015/10/30 23:04
2015011218,2015/10/01 06:01,2015/10/02 02:45
2015011126,2015/10/02 11:38,2015/10/11 00:09
2015011127,2015/10/03 05:42,2015/10/03 05:45
2015011225,2015/10/21 21:09,2015/10/21 21:12
2015011201,2015/10/04 06:01,2015/10/04 23:04
2015011107,2015/10/05 06:01,2015/10/05 23:05
2015011204,2015/10/06 06:01,2015/10/06 23:04
2015011205,2015/10/21 23:20,2015/10/21 23:33
2015011202,2015/10/07 14:17,2015/10/07 23:04
2015011118,2015/10/21 06:01,2015/10/21 23:04
2015011212,2015/10/08 06:01,2015/10/08 23:04
2015011118,2015/10/09 06:01,2015/10/12 04:23
2015011119,2015/10/21 07:48,2015/10/21 23:04
2015011122,2015/10/10 06:01,2015/10/10 23:04
2015011125,2015/10/21 22:17,2015/10/22 00:24
2015011227,2015/10/11 16:00,2015/10/11 23:41
2015011109,2015/10/12 20:33,2015/10/13 00:15
2015011224,2015/10/13 22:50,2015/10/14 00:11
2015011111,2015/10/14 06:01,2015/10/14 23:04
2015011222,2015/10/15 06:02,2015/10/15 23:04
2015011212,2015/10/16 17:53,2015/10/17 03:30
2015011215,2015/10/17 23:52,2015/10/18 00:28
2015011301,2015/10/18 06:01,2015/10/18 23:04
2015011111,2015/10/19 17:46,2015/10/19 23:04
