userId,sex,consumeType,consumeYearMonth,consumeCount,canteenTotleMoney,superMarketTotleMoney,hospitalTotleMoney,showerRoomTotleMoney
2015011229,1,1,201510,19,97.37,0.0,0.0,0.0
2015011107,1,1,201510,1,11.7,0.0,0.0,0.0
2015011213,2,1,201510,7,47.0,0.0,0.0,0.0
2015011226,1,1,201510,9,49.699999999999996,0.0,0.0,0.0
2015011110,1,1,201510,3,22.0,0.0,0.0,0.0
2015011114,1,1,201510,1,9.0,0.0,0.0,0.0
2015011212,1,1,201510,27,122.9,0.0,0.0,0.0
2015011204,1,1,201510,22,111.6,0.0,0.0,0.0
2015011111,1,1,201510,1,7.0,0.0,0.0,0.0
2015011128,1,1,201510,17,99.5,0.0,0.0,0.0
2015011208,1,1,201510,28,136.7,0.0,0.0,0.0
2015011104,1,1,201510,1,4.25,0.0,0.0,0.0
2015011108,1,1,201510,3,20.5,0.0,0.0,0.0
2015011206,1,1,201510,8,46.5,0.0,0.0,0.0
2015011109,1,1,201510,3,23.0,0.0,0.0,0.0
2015011113,2,2,201510,1,0.0,7.0,0.0,0.0
2015011127,1,2,201510,3,0.0,20.7,0.0,0.0
2015011225,1,2,201510,8,0.0,54.0,0.0,0.0
2015011227,1,2,201510,7,0.0,49.2,0.0,0.0
2015011222,1,2,201510,7,0.0,31.5,0.0,0.0
2015011129,1,2,201510,3,0.0,14.0,0.0,0.0
2015011117,1,2,201510,7,0.0,37.9,0.0,0.0
2015011203,1,2,201510,4,0.0,27.9,0.0,0.0
2015011230,1,2,201510,6,0.0,26.4,0.0,0.0
2015011211,1,2,201510,13,0.0,82.1,0.0,0.0
2015011224,1,2,201510,4,0.0,22.8,0.0,0.0
2015011221,1,2,201510,12,0.0,126.39999999999999,0.0,0.0
2015011202,1,2,201510,6,0.0,22.0,0.0,0.0
2015011217,1,2,201510,7,0.0,52.199999999999996,0.0,0.0
2015011220,1,2,201510,2,0.0,9.0,0.0,0.0
2015011115,1,2,201510,4,0.0,23.0,0.0,0.0
2015011205,2,2,201510,7,0.0,49.5,0.0,0.0
2015011118,1,2,201510,6,0.0,20.0,0.0,0.0
2015011116,2,2,201510,5,0.0,19.5,0.0,0.0
2015011228,1,2,201510,1,0.0,4.0,0.0,0.0
2015011214,2,2,201510,14,0.0,100.6,0.0,0.0
2015011210,1,2,201510,4,0.0,34.4,0.0,0.0
2015011219,1,2,201510,4,0.0,23.799999999999997,0.0,0.0
2015011125,1,2,201510,2,0.0,8.4,0.0,0.0
2015011102,1,2,201510,1,0.0,4.0,0.0,0.0
2015011218,1,2,201510,5,0.0,23.8,0.0,0.0
2015011223,2,2,201510,2,0.0,14.1,0.0,0.0
2015011121,1,2,201510,6,0.0,33.0,0.0,0.0
2015011119,1,2,201510,4,0.0,16.7,0.0,0.0
2015011207,1,2,201510,5,0.0,17.8,0.0,0.0
2015011301,1,2,201510,3,0.0,16.5,0.0,0.0
2015011209,1,2,201510,6,0.0,35.3,0.0,0.0
2015011123,1,2,201510,4,0.0,13.5,0.0,0.0
2015011216,1,2,201510,4,0.0,26.8,0.0,0.0
2015011101,1,2,201510,1,0.0,7.0,0.0,0.0
2015011213,2,2,201510,9,0.0,60.29999999999999,0.0,0.0
2015011114,1,2,201510,1,0.0,4.0,0.0,0.0
2015011212,1,2,201510,1,0.0,3.0,0.0,0.0
2015011204,1,2,201510,12,0.0,54.8,0.0,0.0
2015011208,1,2,201510,6,0.0,18.0,0.0,0.0
2015011112,1,2,201510,1,0.0,6.0,0.0,0.0
2015011108,1,2,201510,2,0.0,28.9,0.0,0.0
2015011109,1,2,201510,1,0.0,6.5,0.0,0.0
2015011225,1,3,201510,2,0.0,0.0,2.8,0.0
2015011227,1,3,201510,1,0.0,0.0,4.5,0.0
2015011222,1,3,201510,2,0.0,0.0,13.5,0.0
2015011129,1,3,201510,2,0.0,0.0,10.0,0.0
2015011117,1,3,201510,1,0.0,0.0,5.0,0.0
2015011211,1,3,201510,2,0.0,0.0,15.0,0.0
2015011224,1,3,201510,2,0.0,0.0,9.0,0.0
2015011217,1,3,201510,1,0.0,0.0,6.9,0.0
2015011118,1,3,201510,4,0.0,0.0,16.0,0.0
2015011116,2,3,201510,2,0.0,0.0,6.0,0.0
2015011219,1,3,201510,3,0.0,0.0,13.9,0.0
2015011218,1,3,201510,1,0.0,0.0,2.8,0.0
2015011223,2,3,201510,1,0.0,0.0,1.6,0.0
2015011121,1,3,201510,4,0.0,0.0,23.5,0.0
2015011207,1,3,201510,1,0.0,0.0,3.3,0.0
2015011209,1,3,201510,2,0.0,0.0,12.0,0.0
2015011212,1,3,201510,1,0.0,0.0,3.0,0.0
2015011204,1,3,201510,2,0.0,0.0,10.0,0.0
2015011208,1,3,201510,2,0.0,0.0,10.0,0.0
2015011113,2,4,201510,1,0.0,0.0,0.0,3.91
2015011222,1,4,201510,1,0.0,0.0,0.0,2.41
2015011230,1,4,201510,3,0.0,0.0,0.0,5.25
2015011202,1,4,201510,2,0.0,0.0,0.0,7.76
2015011201,1,4,201510,2,0.0,0.0,0.0,6.38
2015011220,1,4,201510,8,0.0,0.0,0.0,16.040000000000003
2015011124,1,4,201510,1,0.0,0.0,0.0,1.78
2015011214,2,4,201510,2,0.0,0.0,0.0,7.22
2015011125,1,4,201510,1,0.0,0.0,0.0,2.14
2015011102,1,4,201510,1,0.0,0.0,0.0,2.68
2015011218,1,4,201510,2,0.0,0.0,0.0,6.23
2015011121,1,4,201510,1,0.0,0.0,0.0,2.98
2015011123,1,4,201510,2,0.0,0.0,0.0,5.21
2015011216,1,4,201510,2,0.0,0.0,0.0,5.51
2015011126,1,4,201510,2,0.0,0.0,0.0,3.17
2015011107,1,4,201510,1,0.0,0.0,0.0,3.46
2015011213,2,4,201510,1,0.0,0.0,0.0,4.18
2015011226,1,4,201510,4,0.0,0.0,0.0,6.430000000000001
2015011114,1,4,201510,1,0.0,0.0,0.0,1.06
2015011128,1,4,201510,2,0.0,0.0,0.0,5.0
2015011104,1,4,201510,1,0.0,0.0,0.0,2.83
2015011108,1,4,201510,1,0.0,0.0,0.0,1.03
2015011109,1,4,201510,2,0.0,0.0,0.0,2.09
